Timestamp	Text
---------	----
00:00.400	यदि आप AI एजेंटों का निर्माण कर रहे हैं, तो आपने शायद MCP या मॉडल संदर्भ प्रोटोकॉल के बारे में सुना है।
00:05.240	MCP अपने एजेंटों को डेटाबेस या API जैसे डेटा स्रोतों से जोड़ने के लिए एक नया ओपन सोर्स मानक है।
00:11.679	MCP में कई घटक होते हैं।
00:13.939	सबसे महत्वपूर्ण होस्ट, क्लाइंट और सर्वर हैं।
00:17.219	तो चलिए इसे तोड़ते हैं।
00:19.530	शीर्ष पर आपके पास अपना MCP होस्ट होगा।
00:22.570	आपके MCP होस्ट में एक MCP क्लाइंट शामिल होगा।
00:25.910	और इसमें कई ग्राहक भी शामिल हो सकते हैं।
00:28.370	MCP होस्ट एक एप्लिकेशन जैसे चैट ऐप हो सकता है।
00:33.630	यह आपके आईडीई में एक कोड सहायक भी हो सकता है, और बहुत कुछ।
00:38.520	MCP होस्ट एक MCP सर्वर से कनेक्ट होगा।
00:41.600	यह वास्तव में कई MCP सर्वर से भी जुड़ सकता है।
00:48.799	इससे कोई फर्क नहीं पड़ता कि आप अपने MCP होस्ट या क्लाइंट से कितने MCP सर्वर से जुड़ते हैं।
00:53.189	MCP होस्ट और सर्वर MCP प्रोटोकॉल के माध्यम से एक दूसरे से जुड़ेंगे।
00:57.630	MCP प्रोटोकॉल बीच में एक परिवहन परत है।
01:04.930	जब भी आपके MCP होस्ट या क्लाइंट को किसी टूल की आवश्यकता होती है, तो यह MCP सर्वर से कनेक्ट होने जा रहा है।
01:09.290	MCP सर्वर तब कनेक्ट करेगा, उदाहरण के लिए, एक डेटाबेस।
01:12.909	और इससे कोई फर्क नहीं पड़ता कि यह एक रिलेशनल डेटाबेस या NOSQL डेटाबेस है।
01:17.069	यह एपीआई से भी जुड़ सकता है।
01:20.500	और एपीआई मानक भी वास्तव में मायने नहीं रखता है।
01:23.120	अंत में, यह स्थानीय फ़ाइल प्रकार या शायद कोड जैसे डेटा स्रोतों से भी जुड़ सकता है।
01:30.590	यह विशेष रूप से उपयोगी है जब आप अपने आईडीई में कोड सहायक की तरह कुछ बना रहे हैं।
01:36.579	आइए एक उदाहरण देखें कि व्यवहार में MCP का उपयोग कैसे करें।
01:40.120	हमारे पास अभी भी तीन घटक हैं।
01:41.599	हमारे पास हमारे MCP होस्ट और क्लाइंट होंगे,
01:46.019	बेशक, हमारे पास एक बड़ी भाषा मॉडल भी है,
01:53.170	और अंत में, हमारे पास हमारे MCP सर्वर हैं,
01:56.030	और ये कई MCP सर्वर या सिर्फ एक ही हो सकते हैं।
02:03.430	मान लीजिए कि हमारे MCP क्लाइंट और होस्ट एक चैट ऐप है,
02:07.022	और आप एक सवाल पूछते हैं जैसे कि एक निश्चित स्थान पर मौसम कैसा है या मेरे पास कितने ग्राहक हैं?
02:13.289	MCP होस्ट को MCP सर्वर से टूल प्राप्त करने की आवश्यकता होगी।
02:18.719	MCP सर्वर तब निष्कर्ष निकालेगा और बताएगा कि कौन से उपकरण उपलब्ध हैं।
02:23.319	MCP होस्ट से, आपको तब बड़ी भाषा मॉडल से कनेक्ट करना होगा
02:26.633	और अपने प्रश्न के साथ -साथ उपलब्ध उपकरणों को भेजें।
02:30.960	यदि सब ठीक है, तो एलएलएम उत्तर देगा और आपको बताएगा कि किन उपकरणों का उपयोग करना है।
02:38.280	एक बार MCP होस्ट और क्लाइंट को पता है कि कौन से उपकरण का उपयोग करना है, यह जानता है कि MCP सर्वर को कॉल करना है।
02:43.599	इसलिए जब यह उपकरण परिणाम प्राप्त करने के लिए MCP सर्वर को कॉल करता है,
02:48.846	MCP सर्वर किसी ऐसी चीज़ को निष्पादित करने के लिए जिम्मेदार होगा जो डेटाबेस में जाती है, एपीआई, या कोड के एक स्थानीय टुकड़े के लिए,
02:59.069	और निश्चित रूप से, एमसीपी सर्वर को बाद में कॉल किया जा सकता है।
03:02.889	MCP सर्वर एक प्रतिक्रिया के साथ लागू होगा, जिसे आप LLM में वापस भेज सकते हैं।
03:07.849	और अंत में, आपको उस प्रश्न के आधार पर अपना अंतिम उत्तर प्राप्त करने में सक्षम होना चाहिए जो आपने चैट एप्लिकेशन में पूछा था।
03:15.060	यदि आप एजेंटों का निर्माण कर रहे हैं, तो मैं वास्तव में आपको MCP प्रोटोकॉल को देखने की सलाह दूंगा।
03:18.800	MCP प्रोटोकॉल एक नया मानक है जो आपको MCP सर्वर के माध्यम से अपने डेटा स्रोतों को किसी भी एजेंट से जोड़ने में मदद करेगा।
03:25.280	भले ही आप एजेंटों का निर्माण नहीं कर रहे हों, लेकिन आपका ग्राहक एजेंटों का निर्माण कर सकता है।
03:29.439	और अगर आपने इस वीडियो का आनंद लिया है, तो पसंद करना और सदस्यता लेना सुनिश्चित करें।
